Source,Target,Type,Id,Label,Weight
22,177,Directed,1003202,,1
22,36,Directed,1003203,,1
22,178,Directed,1003216,,1
22,40,Directed,1003217,,1
22,179,Directed,1003230,,1
22,2,Directed,1003242,,2
22,180,Directed,1003244,,1
22,181,Directed,1003258,,1
23,182,Directed,1003272,,1
23,37,Directed,1003273,,1
23,NA,Directed,1003274,,23
23,M,Directed,1003276,,3
23,TRUE,Directed,1003277,,9
23,FALSE,Directed,1003278,,45
23,1,Directed,1003283,,15
23,4,Directed,1003285,,8
23,183,Directed,1003286,,1
23,25,Directed,1003287,,1
23,F,Directed,1003290,,6
23,184,Directed,1003300,,1
23,31,Directed,1003301,,1
23,185,Directed,1003314,,1
23,18,Directed,1003315,,1
23,186,Directed,1003328,,1
23,5,Directed,1003341,,1
23,187,Directed,1003342,,1
23,188,Directed,1003356,,1
23,2,Directed,1003367,,3
23,189,Directed,1003370,,1
23,190,Directed,1003384,,1
24,191,Directed,1003398,,1
24,34,Directed,1003399,,2
24,NA,Directed,1003400,,17
24,F,Directed,1003402,,5
24,FALSE,Directed,1003403,,40
24,TRUE,Directed,1003407,,8
24,1,Directed,1003409,,10
24,5,Directed,1003411,,4
24,192,Directed,1003412,,1
24,37,Directed,1003413,,1
24,M,Directed,1003416,,3
24,193,Directed,1003426,,1
24,4,Directed,1003439,,6
24,194,Directed,1003440,,1
24,62,Directed,1003441,,1
24,2,Directed,1003451,,3
24,195,Directed,1003454,,1
24,65,Directed,1003455,,1
24,196,Directed,1003468,,1
24,63,Directed,1003469,,1
24,197,Directed,1003482,,1
24,60,Directed,1003483,,1
24,3,Directed,1003493,,1
24,198,Directed,1003496,,1
25,199,Directed,1003510,,1
25,26,Directed,1003511,,1
25,NA,Directed,1003512,,13
25,F,Directed,1003514,,3
25,TRUE,Directed,1003515,,9
25,FALSE,Directed,1003516,,21
25,1,Directed,1003521,,6
25,5,Directed,1003523,,2
25,200,Directed,1003524,,1
25,27,Directed,1003525,,1
25,M,Directed,1003528,,2
25,201,Directed,1003538,,1
25,3,Directed,1003549,,2
25,2,Directed,1003550,,4
25,202,Directed,1003552,,1
25,203,Directed,1003566,,1
25,4,Directed,1003577,,1
26,204,Directed,1003580,,1
26,32,Directed,1003581,,2
26,NA,Directed,1003582,,18
26,F,Directed,1003584,,3
26,TRUE,Directed,1003585,,12
26,FALSE,Directed,1003586,,42
26,1,Directed,1003591,,12
26,5,Directed,1003593,,3
26,205,Directed,1003594,,1
26,M,Directed,1003598,,6
26,4,Directed,1003607,,4
26,206,Directed,1003608,,1
26,31,Directed,1003609,,1
26,3,Directed,1003619,,1
26,207,Directed,1003622,,1
26,36,Directed,1003623,,1
26,2,Directed,1003634,,7
26,208,Directed,1003636,,1
26,25,Directed,1003637,,1
26,209,Directed,1003650,,1
26,56,Directed,1003651,,1
26,210,Directed,1003664,,1
26,58,Directed,1003665,,1
26,211,Directed,1003678,,1
26,61,Directed,1003679,,1
26,212,Directed,1003692,,1
26,85,Directed,1003693,,1
27,213,Directed,1003706,,1
27,44,Directed,1003707,,1
27,NA,Directed,1003708,,8
27,F,Directed,1003710,,2
27,TRUE,Directed,1003711,,3
27,FALSE,Directed,1003712,,15
27,1,Directed,1003717,,5
27,214,Directed,1003720,,1
27,40,Directed,1003721,,1
27,M,Directed,1003724,,1
27,215,Directed,1003734,,1
27,45,Directed,1003735,,1
27,5,Directed,1003745,,1
27,2,Directed,1003746,,1
28,216,Directed,1003748,,1
28,36,Directed,1003749,,1
28,NA,Directed,1003750,,4
28,F,Directed,1003752,,2
28,TRUE,Directed,1003753,,3
28,FALSE,Directed,1003754,,9
28,1,Directed,1003759,,3
28,5,Directed,1003761,,1
28,217,Directed,1003762,,1
28,50,Directed,1003763,,1
28,4,Directed,1003773,,1
28,3,Directed,1003775,,1
29,218,Directed,1003776,,1
29,29,Directed,1003777,,1
29,NA,Directed,1003778,,10
29,M,Directed,1003780,,2
29,TRUE,Directed,1003781,,5
29,FALSE,Directed,1003782,,25
29,1,Directed,1003787,,7
29,5,Directed,1003789,,3
29,219,Directed,1003790,,1
29,27,Directed,1003791,,1
29,F,Directed,1003794,,3
29,2,Directed,1003801,,3
29,3,Directed,1003803,,2
29,220,Directed,1003804,,1
29,30,Directed,1003805,,1
29,221,Directed,1003818,,1
29,50,Directed,1003819,,1
29,222,Directed,1003832,,1
29,40,Directed,1003833,,1
30,223,Directed,1003846,,1
30,8,Directed,1003847,,3
30,NA,Directed,1003848,,45
30,M,Directed,1003850,,8
30,TRUE,Directed,1003851,,19
30,FALSE,Directed,1003852,,95
30,1,Directed,1003857,,19
30,5,Directed,1003859,,10
30,224,Directed,1003860,,1
30,6,Directed,1003861,,1
30,225,Directed,1003874,,1
30,2,Directed,1003885,,16
30,226,Directed,1003888,,1
30,227,Directed,1003902,,1
30,39,Directed,1003903,,1
30,228,Directed,1003916,,1
30,35,Directed,1003917,,2
30,F,Directed,1003920,,10
30,4,Directed,1003927,,7
30,3,Directed,1003929,,5
30,229,Directed,1003930,,1
30,230,Directed,1003944,,1
30,59,Directed,1003945,,1
30,231,Directed,1003958,,1
30,64,Directed,1003959,,1
30,232,Directed,1003972,,1
30,86,Directed,1003973,,1
30,233,Directed,1003986,,1
30,61,Directed,1003987,,1
30,234,Directed,1004000,,1
30,60,Directed,1004001,,1
30,235,Directed,1004014,,1
30,40,Directed,1004015,,1
30,236,Directed,1004028,,1
30,237,Directed,1004042,,1
30,238,Directed,1004056,,1
30,239,Directed,1004070,,1
30,240,Directed,1004084,,1
30,241,Directed,1004098,,1
31,242,Directed,1004112,,1
31,1,Directed,1004113,,14
31,NA,Directed,1004114,,27
31,F,Directed,1004116,,7
31,FALSE,Directed,1004117,,57
31,TRUE,Directed,1004121,,15
31,2,Directed,1004123,,10
31,4,Directed,1004125,,10
31,243,Directed,1004126,,1
31,M,Directed,1004130,,5
31,5,Directed,1004139,,4
31,244,Directed,1004140,,1
31,30,Directed,1004141,,2
31,245,Directed,1004154,,1
31,33,Directed,1004155,,1
31,246,Directed,1004168,,1
31,247,Directed,1004182,,1
31,31,Directed,1004183,,2
31,248,Directed,1004196,,1
31,24,Directed,1004197,,1
31,249,Directed,1004210,,1
31,250,Directed,1004224,,1
31,27,Directed,1004225,,1
31,251,Directed,1004238,,1
31,252,Directed,1004252,,1
31,253,Directed,1004266,,1
32,254,Directed,1004280,,1
32,2,Directed,1004281,,2
32,NA,Directed,1004282,,21
32,F,Directed,1004284,,5
32,TRUE,Directed,1004285,,11
32,FALSE,Directed,1004286,,43
32,1,Directed,1004291,,12
32,5,Directed,1004293,,3
32,255,Directed,1004294,,1
32,10,Directed,1004295,,1
32,M,Directed,1004298,,4
32,4,Directed,1004305,,8
32,256,Directed,1004308,,1
32,24,Directed,1004309,,1
32,257,Directed,1004322,,1
32,23,Directed,1004323,,1
32,258,Directed,1004336,,1
32,21,Directed,1004337,,2
32,3,Directed,1004347,,2
32,259,Directed,1004350,,1
32,260,Directed,1004364,,1
32,62,Directed,1004365,,1
32,261,Directed,1004378,,1
32,262,Directed,1004392,,1
33,263,Directed,1004406,,1
33,2,Directed,1004407,,6
33,NA,Directed,1004408,,20
33,F,Directed,1004410,,7
33,TRUE,Directed,1004411,,10
33,FALSE,Directed,1004412,,50
33,1,Directed,1004417,,16
33,5,Directed,1004419,,6
33,264,Directed,1004420,,1
33,6,Directed,1004421,,1
33,M,Directed,1004424,,3
33,265,Directed,1004434,,1
33,37,Directed,1004435,,1
33,266,Directed,1004448,,1
33,38,Directed,1004449,,1
33,4,Directed,1004459,,2
33,267,Directed,1004462,,1
33,44,Directed,1004463,,1
33,268,Directed,1004476,,1
33,60,Directed,1004477,,1
33,269,Directed,1004490,,1
33,65,Directed,1004491,,1
33,270,Directed,1004504,,1
33,68,Directed,1004505,,1
33,3,Directed,1004517,,1
33,271,Directed,1004518,,1
33,69,Directed,1004519,,1
33,272,Directed,1004532,,1
33,42,Directed,1004533,,1
34,273,Directed,1004546,,1
34,23,Directed,1004547,,1
34,NA,Directed,1004548,,4
34,F,Directed,1004550,,1
34,TRUE,Directed,1004551,,2
34,FALSE,Directed,1004552,,10
34,1,Directed,1004557,,4
34,5,Directed,1004559,,2
34,274,Directed,1004560,,1
34,24,Directed,1004561,,1
34,M,Directed,1004564,,1
35,275,Directed,1004574,,1
35,25,Directed,1004575,,2
35,NA,Directed,1004576,,12
35,F,Directed,1004578,,4
35,TRUE,Directed,1004579,,6
35,FALSE,Directed,1004580,,30
35,1,Directed,1004585,,9
35,5,Directed,1004587,,3
35,276,Directed,1004588,,1
35,32,Directed,1004589,,1
35,M,Directed,1004592,,2
35,277,Directed,1004602,,1
35,4,Directed,1004613,,4
35,278,Directed,1004616,,1
35,49,Directed,1004617,,1
35,279,Directed,1004630,,1
35,50,Directed,1004632,,1
35,100,Directed,1004633,,1
35,2,Directed,1004643,,2
35,280,Directed,1004644,,1
36,281,Directed,1004658,,1
36,38,Directed,1004659,,1
36,NA,Directed,1004660,,12
36,M,Directed,1004662,,1
36,TRUE,Directed,1004663,,5
36,FALSE,Directed,1004664,,25
36,1,Directed,1004669,,9
36,4,Directed,1004671,,2
36,282,Directed,1004672,,1
36,67,Directed,1004673,,1
36,F,Directed,1004676,,4
36,283,Directed,1004686,,1
36,41,Directed,1004687,,1
36,5,Directed,1004699,,3
36,284,Directed,1004700,,1
36,285,Directed,1004714,,1
36,2,Directed,1004725,,1
37,286,Directed,1004728,,1
37,30,Directed,1004729,,2
37,NA,Directed,1004730,,24
37,F,Directed,1004732,,8
37,TRUE,Directed,1004733,,9
37,FALSE,Directed,1004734,,45
37,1,Directed,1004739,,4
37,5,Directed,1004741,,4
37,287,Directed,1004742,,1
37,M,Directed,1004746,,1
37,288,Directed,1004756,,1
37,32,Directed,1004757,,1
37,2,Directed,1004767,,12
37,4,Directed,1004769,,7
37,289,Directed,1004770,,1
37,290,Directed,1004784,,1
37,291,Directed,1004798,,1
37,292,Directed,1004812,,1
37,293,Directed,1004826,,1
37,294,Directed,1004840,,1
38,295,Directed,1004854,,1
38,29,Directed,1004855,,1
38,NA,Directed,1004856,,10
38,F,Directed,1004858,,3
38,TRUE,Directed,1004859,,6
38,FALSE,Directed,1004860,,24
38,1,Directed,1004865,,7
38,5,Directed,1004867,,2
38,296,Directed,1004868,,1
38,28,Directed,1004869,,1
38,M,Directed,1004872,,2
38,297,Directed,1004882,,1
38,26,Directed,1004883,,1
38,3,Directed,1004893,,1
38,4,Directed,1004895,,3
38,298,Directed,1004896,,1
38,71,Directed,1004897,,1
38,2,Directed,1004907,,2
38,299,Directed,1004910,,1
38,70,Directed,1004911,,1
39,300,Directed,1004924,,1
39,2,Directed,1004925,,4
39,NA,Directed,1004926,,17
39,M,Directed,1004928,,1
39,FALSE,Directed,1004929,,39
39,TRUE,Directed,1004934,,9
39,4,Directed,1004935,,7
39,1,Directed,1004936,,8
39,301,Directed,1004938,,1
39,18,Directed,1004939,,1
39,F,Directed,1004942,,7
39,3,Directed,1004951,,4
39,302,Directed,1004952,,1
39,20,Directed,1004953,,2
39,5,Directed,1004965,,2
39,303,Directed,1004966,,1
39,304,Directed,1004980,,1
39,24,Directed,1004981,,2
39,305,Directed,1004994,,1
39,306,Directed,1005008,,1
39,47,Directed,1005009,,1
39,307,Directed,1005022,,1
40,308,Directed,1005036,,1
40,3,Directed,1005037,,1
40,NA,Directed,1005038,,10
40,M,Directed,1005040,,3
40,TRUE,Directed,1005041,,5
40,FALSE,Directed,1005042,,25
40,1,Directed,1005047,,9
40,5,Directed,1005049,,3
40,309,Directed,1005050,,1
40,25,Directed,1005051,,1
40,F,Directed,1005054,,2
40,310,Directed,1005064,,1
40,34,Directed,1005065,,1
40,311,Directed,1005078,,1
40,54,Directed,1005079,,1
40,4,Directed,1005091,,2
40,312,Directed,1005092,,1
40,52,Directed,1005093,,1
40,2,Directed,1005103,,1
41,313,Directed,1005106,,1
41,6,Directed,1005107,,1
41,NA,Directed,1005108,,6
41,F,Directed,1005110,,2
41,TRUE,Directed,1005111,,4
41,FALSE,Directed,1005112,,14
41,1,Directed,1005117,,6
41,5,Directed,1005119,,3
41,314,Directed,1005120,,1
41,35,Directed,1005121,,1
41,315,Directed,1005134,,1
41,33,Directed,1005135,,1
